source,target,year
Gloria Swanson,Louise Dresser,1923
Gloria Swanson,Mervyn LeRoy,1923
Gloria Swanson,Sam Wood,1923
Louise Dresser,Mervyn LeRoy,1923
Louise Dresser,Sam Wood,1923
Mervyn LeRoy,Sam Wood,1923
Louise Dresser,Mary Astor,1923
Lewis Stone,Adolphe Menjou,1923
Jack Oakie,Sam Wood,1923
Betty Compson,Herbert Brenon,1923
Betty Compson,Richard Dix,1923
Betty Compson,Herbert Brenon,1923
Richard Dix,Herbert Brenon,1923
Louise Dresser,Mary Astor,1923
Sessue Hayakawa,Sessue Hayakawa,1923
Emil Jannings,Marlene Dietrich,1923
William Dieterle,Marlene Dietrich,1923
William Dieterle,William Dieterle,1923
Marlene Dietrich,William Dieterle,1923
Emil Jannings,Marlene Dietrich,1923
Erich von Stroheim,Erich von Stroheim,1924
Norma Shearer,Victor Fleming,1924
Emil Jannings,William Dieterle,1924
Edna May Oliver,Gregory La Cava,1924
Adolphe Menjou,Ernst Lubitsch,1924
Adolphe Menjou,Clark Gable,1924
Adolphe Menjou,Ernst Lubitsch,1924
Clark Gable,Ernst Lubitsch,1924
Jean Arthur,King Vidor,1924
Lillian Gish,William Powell,1924
Lillian Gish,Ronald Colman,1924
William Powell,Ronald Colman,1924
Wallace Beery,Frank Lloyd,1924
Norma Shearer,Adolphe Menjou,1924
Robert Z. Leonard,Norma Shearer,1924
Bessie Love,Wallace Beery,1924
Mary Astor,Harry Beaumont,1924
Louise Dresser,Sam Wood,1924
Carole Lombard,W. S. Van Dyke,1924
Richard Barthelmess,Jack Oakie,1924
Gloria Swanson,Frank Morgan,1924
Alfred Lunt,Lynn Fontanne,1924
Lewis Stone,Mary Astor,1924
Bessie Love,Warner Baxter,1924
Adolphe Menjou,Herbert Brenon,1924
Richard Dix,Edna May Oliver,1924
Betty Compson,Richard Dix,1924
Betty Compson,Lewis Stone,1924
Richard Dix,Lewis Stone,1924
Betty Compson,Warner Baxter,1924
Betty Compson,Sam Wood,1924
Warner Baxter,Sam Wood,1924
Betty Compson,Warner Baxter,1924
Betty Compson,Adolphe Menjou,1924
Bessie Love,Frank Lloyd,1924
Wallace Beery,Clarence Brown,1924
Wallace Beery,Clarence Brown,1924
Clarence Brown,Clarence Brown,1924
Elisabeth Bergner,Emil Jannings,1924
Norma Shearer,George Stevens,1924
Adolphe Menjou,Norma Shearer,1924
Adolphe Menjou,Mervyn LeRoy,1924
Norma Shearer,Mervyn LeRoy,1924
George Arliss,Ronald Colman,1924
Corinne Griffith,Robert Z. Leonard,1924
Lionel Barrymore,Clarence Brown,1925
Lionel Barrymore,Joan Crawford,1925
Lionel Barrymore,Lillian Gish,1925
Lionel Barrymore,Carole Lombard,1925
Lionel Barrymore,Mary Pickford,1925
Clarence Brown,Joan Crawford,1925
Clarence Brown,Lillian Gish,1925
Clarence Brown,Carole Lombard,1925
Clarence Brown,Mary Pickford,1925
Joan Crawford,Lillian Gish,1925
Joan Crawford,Carole Lombard,1925
Joan Crawford,Mary Pickford,1925
Lillian Gish,Carole Lombard,1925
Lillian Gish,Mary Pickford,1925
Carole Lombard,Mary Pickford,1925
Louise Dresser,Gary Cooper,1925
Louise Dresser,Clarence Brown,1925
Gary Cooper,Clarence Brown,1925
Bessie Love,Lewis Stone,1925
Bessie Love,Wallace Beery,1925
Lewis Stone,Wallace Beery,1925
Wallace Beery,Victor Fleming,1925
Wallace Beery,Victor Fleming,1925
Bessie Love,Warner Baxter,1925
Bessie Love,Victor Fleming,1925
Warner Baxter,Victor Fleming,1925
Mary Astor,Donald Crisp,1925
Mary Astor,Donald Crisp,1925
Donald Crisp,Donald Crisp,1925
Joan Crawford,Norma Shearer,1925
Norma Shearer,Joan Crawford,1925
Norma Shearer,Joan Crawford,1925
Joan Crawford,Clark Gable,1925
Joan Crawford,Erich von Stroheim,1925
Clark Gable,Erich von Stroheim,1925
Joan Crawford,King Vidor,1925
Warner Baxter,Cecil B. DeMille,1925
Joseph Schildkraut,Chester Morris,1925
Joseph Schildkraut,Cecil B. DeMille,1925
Chester Morris,Cecil B. DeMille,1925
Victor McLaglen,John Ford,1925
Lewis Stone,Robert Z. Leonard,1925
