index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
31993,2004,ACTOR IN A SUPPORTING ROLE,Tim Robbins,Mystic River,True,nm0000209,1958,0,"actor,producer,director",46,True,2021,63,M
32193,1997,ACTOR IN A LEADING ROLE,Woody Harrelson,The People vs. Larry Flynt,False,nm0000437,1961,0,"actor,producer,soundtrack",36,True,2021,60,M
32194,2010,ACTOR IN A SUPPORTING ROLE,Woody Harrelson,The Messenger,False,nm0000437,1961,0,"actor,producer,soundtrack",49,True,2021,60,M
32195,2018,ACTOR IN A SUPPORTING ROLE,Woody Harrelson,"Three Billboards outside Ebbing, Missouri",False,nm0000437,1961,0,"actor,producer,soundtrack",57,True,2021,60,M
32196,1997,ACTOR IN A LEADING ROLE,Geoffrey Rush,Shine,True,nm0001691,1951,0,"actor,soundtrack,producer",46,True,2021,70,M
32198,1999,ACTOR IN A SUPPORTING ROLE,Geoffrey Rush,Shakespeare in Love,False,nm0001691,1951,0,"actor,soundtrack,producer",48,True,2021,70,M
32200,2001,ACTOR IN A LEADING ROLE,Geoffrey Rush,Quills,False,nm0001691,1951,0,"actor,soundtrack,producer",50,True,2021,70,M
32202,2011,ACTOR IN A SUPPORTING ROLE,Geoffrey Rush,The King's Speech,False,nm0001691,1951,0,"actor,soundtrack,producer",60,True,2021,70,M
32204,1997,ACTOR IN A LEADING ROLE,Billy Bob Thornton,Sling Blade,False,nm0000671,1955,0,"actor,writer,director",42,True,2021,66,M
32206,1999,ACTOR IN A SUPPORTING ROLE,Billy Bob Thornton,A Simple Plan,False,nm0000671,1955,0,"actor,writer,director",44,True,2021,66,M
32207,1997,ACTOR IN A SUPPORTING ROLE,William H. Macy,Fargo,False,nm0000513,1950,0,"actor,writer,soundtrack",47,True,2021,71,M
32208,1997,ACTOR IN A SUPPORTING ROLE,Armin Mueller-Stahl,Shine,False,nm0000090,1930,0,"actor,director,writer",67,True,2021,91,M
