index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
4937,1946,ACTRESS,Jennifer Jones,Love Letters,False,nm0428354,1919,2009,"actress,soundtrack",27,False,2021,0,F
5031,1947,ACTRESS,Jennifer Jones,Duel in the Sun,False,nm0428354,1919,2009,"actress,soundtrack",28,False,2021,0,F
5125,1956,ACTRESS,Jennifer Jones,Love Is a Many-Splendored Thing,False,nm0428354,1919,2009,"actress,soundtrack",37,False,2021,0,F
5219,1944,ACTRESS IN A SUPPORTING ROLE,Paulette Goddard,So Proudly We Hail!,False,nm0002104,1910,1990,"actress,soundtrack,producer",34,False,2021,0,F
5220,1944,ACTRESS IN A SUPPORTING ROLE,Katina Paxinou,For Whom the Bell Tolls,True,nm0668093,1900,1973,actress,44,False,2021,0,F
5221,1944,ACTRESS IN A SUPPORTING ROLE,Anne Revere,The Song of Bernadette,False,nm0720843,1903,1990,actress,41,False,2021,0,F
5222,1946,ACTRESS IN A SUPPORTING ROLE,Anne Revere,National Velvet,True,nm0720843,1903,1990,actress,43,False,2021,0,F
5223,1948,ACTRESS IN A SUPPORTING ROLE,Anne Revere,Gentleman's Agreement,False,nm0720843,1903,1990,actress,45,False,2021,0,F
5224,1944,ACTRESS IN A SUPPORTING ROLE,Lucile Watson,Watch on the Rhine,False,nm0914778,1879,1962,"actress,soundtrack",65,False,2021,0,F
5496,1945,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,None but the Lonely Heart,True,nm0000856,1879,1959,actress,66,False,2021,0,F
5497,1947,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,The Spiral Staircase,False,nm0000856,1879,1959,actress,68,False,2021,0,F
5498,1948,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,The Paradine Case,False,nm0000856,1879,1959,actress,69,False,2021,0,F
5499,1950,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,Pinky,False,nm0000856,1879,1959,actress,71,False,2021,0,F
5500,1945,ACTRESS IN A SUPPORTING ROLE,Angela Lansbury,Gaslight,False,nm0001450,1925,0,"actress,producer,soundtrack",20,True,2021,96,F
5502,1946,ACTRESS IN A SUPPORTING ROLE,Angela Lansbury,The Picture of Dorian Gray,False,nm0001450,1925,0,"actress,producer,soundtrack",21,True,2021,96,F
5504,1963,ACTRESS IN A SUPPORTING ROLE,Angela Lansbury,The Manchurian Candidate,False,nm0001450,1925,0,"actress,producer,soundtrack",38,True,2021,96,F
5506,1945,ACTRESS IN A SUPPORTING ROLE,Aline MacMahon,Dragon Seed,False,nm0533956,1899,1991,"actress,soundtrack",46,False,2021,0,F
5718,1946,ACTRESS,Joan Crawford,Mildred Pierce,True,nm0001076,1904,1977,"actress,soundtrack,writer",42,False,2021,0,F
5723,1948,ACTRESS,Joan Crawford,Possessed,False,nm0001076,1904,1977,"actress,soundtrack,writer",44,False,2021,0,F
5728,1953,ACTRESS,Joan Crawford,Sudden Fear,False,nm0001076,1904,1977,"actress,soundtrack,writer",49,False,2021,0,F
5733,1946,ACTRESS,Gene Tierney,Leave Her to Heaven,False,nm0000074,1920,1991,"actress,soundtrack",26,False,2021,0,F
5734,1946,ACTRESS IN A SUPPORTING ROLE,Eve Arden,Mildred Pierce,False,nm0000781,1908,1990,"actress,soundtrack",38,False,2021,0,F
